ticket,commit_hash,java_file
STORM-3629,cbf07d94df68c5b2b63d5964ac2d85ecdd41a25e,storm-webapp\src\main\java\org\apache\storm\daemon\logviewer\utils\ResourceAuthorizer.java
STORM-3629,c78611630233dfef5a14835be93e525b672a50da,storm-webapp\src\main\java\org\apache\storm\daemon\logviewer\handler\LogviewerLogPageHandler.java
STORM-3629,c78611630233dfef5a14835be93e525b672a50da,storm-webapp\src\main\java\org\apache\storm\daemon\logviewer\utils\ResourceAuthorizer.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\DaemonConfig.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\DefaultScheduler.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\EvenScheduler.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\IsolationScheduler.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\multitenant\MultitenantScheduler.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\resource\ResourceAwareScheduler.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\utils\ArtifactoryConfigLoader.java
STORM-3624,af5021aa1911a89c8cee65b91f50fa8d00263d08,storm-server\src\main\java\org\apache\storm\scheduler\utils\SchedulerConfigCache.java
STORM-3623,6976624228386c25e9ac6dd2b8ef87a9deeb1ad9,storm-client\src\jvm\org\apache\storm\executor\Executor.java
STORM-3623,6976624228386c25e9ac6dd2b8ef87a9deeb1ad9,storm-client\src\jvm\org\apache\storm\metrics2\StormMetricRegistry.java
STORM-3623,6976624228386c25e9ac6dd2b8ef87a9deeb1ad9,storm-client\src\jvm\org\apache\storm\task\IMetricsContext.java
STORM-3623,6976624228386c25e9ac6dd2b8ef87a9deeb1ad9,storm-client\src\jvm\org\apache\storm\task\TopologyContext.java
STORM-3623,6976624228386c25e9ac6dd2b8ef87a9deeb1ad9,storm-client\src\jvm\org\apache\storm\trident\operation\TridentOperationContext.java
STORM-3622,1b325e6110414d9b425b4c74fd72e1e40bb98c9c,storm-client\src\jvm\org\apache\storm\metric\SystemBolt.java
STORM-3620,3fb9fe8b67a08ae6fbe8470e67de8db6f5fcbaa5,storm-client\test\jvm\org\apache\storm\executor\ExecutorTransferMultiThreadingTest.java
STORM-3620,200803d34166d8444e5ea7ae7c64556c3c6e6169,examples\storm-starter\src\jvm\org\apache\storm\starter\MultiThreadWordCountTopology.java
STORM-3620,200803d34166d8444e5ea7ae7c64556c3c6e6169,examples\storm-starter\src\jvm\org\apache\storm\starter\WordCountTopology.java
STORM-3620,200803d34166d8444e5ea7ae7c64556c3c6e6169,examples\storm-starter\src\jvm\org\apache\storm\starter\bolt\WordCountBolt.java
STORM-3620,200803d34166d8444e5ea7ae7c64556c3c6e6169,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerTransfer.java
STORM-3620,200803d34166d8444e5ea7ae7c64556c3c6e6169,storm-client\src\jvm\org\apache\storm\executor\ExecutorTransfer.java
STORM-3620,200803d34166d8444e5ea7ae7c64556c3c6e6169,storm-client\test\jvm\org\apache\storm\executor\ExecutorTransferMultiThreadingTest.java
STORM-3620,fcfc32dfd537d9d99586c97459b4d465a0355b46,examples\storm-starter\src\jvm\org\apache\storm\starter\MultiThreadWordCountTopology.java
STORM-3620,fcfc32dfd537d9d99586c97459b4d465a0355b46,examples\storm-starter\src\jvm\org\apache\storm\starter\WordCountTopology.java
STORM-3620,fcfc32dfd537d9d99586c97459b4d465a0355b46,examples\storm-starter\src\jvm\org\apache\storm\starter\bolt\WordCountBolt.java
STORM-3620,fcfc32dfd537d9d99586c97459b4d465a0355b46,storm-client\src\jvm\org\apache\storm\daemon\worker\WorkerTransfer.java
STORM-3620,fcfc32dfd537d9d99586c97459b4d465a0355b46,storm-client\src\jvm\org\apache\storm\executor\ExecutorTransfer.java
STORM-3620,fcfc32dfd537d9d99586c97459b4d465a0355b46,storm-client\test\jvm\org\apache\storm\executor\ExecutorTransferMultiThreadingTest.java
STORM-3609,8276d6ebbccac1bd1ec5fe1ea99536211b8a5f77,storm-client\src\jvm\org\apache\storm\executor\bolt\BoltExecutor.java
STORM-3609,8276d6ebbccac1bd1ec5fe1ea99536211b8a5f77,storm-client\src\jvm\org\apache\storm\executor\spout\SpoutExecutor.java
STORM-3609,04b753ef512f1d5915926a09ed12d8ed006fbd1f,storm-client\src\jvm\org\apache\storm\executor\bolt\BoltExecutor.java
STORM-3609,04b753ef512f1d5915926a09ed12d8ed006fbd1f,storm-client\src\jvm\org\apache\storm\executor\spout\SpoutExecutor.java
STORM-3606,fba1a5f9ead55a0e82e7c19fc10bb3bb8af5cb42,storm-client\src\jvm\org\apache\storm\security\auth\kerberos\AutoTGT.java
STORM-3606,257ae2fc52a1b097e62cacdae9a0347d1c7db139,storm-client\src\jvm\org\apache\storm\security\auth\kerberos\AutoTGT.java
STORM-3602,de646bf5bc110edb60f3456b49c01264a439b382,storm-client\src\jvm\org\apache\storm\grouping\LoadAwareShuffleGrouping.java
STORM-3602,de646bf5bc110edb60f3456b49c01264a439b382,storm-client\test\jvm\org\apache\storm\grouping\LoadAwareShuffleGroupingTest.java
STORM-3602,fb78f00849474392269137b190390a210826259f,storm-client\src\jvm\org\apache\storm\grouping\LoadAwareShuffleGrouping.java
STORM-3602,fb78f00849474392269137b190390a210826259f,storm-client\test\jvm\org\apache\storm\grouping\LoadAwareShuffleGroupingTest.java
STORM-3598,03af7876f50cfb824e5925f64a40910dd81e485d,storm-server\src\main\java\org\apache\storm\stats\StatsUtil.java
STORM-3598,99a1b96368c080f1dc06c6d1b996f6bfa5aabc2b,storm-server\src\main\java\org\apache\storm\stats\StatsUtil.java
STORM-3583,ec217df0efa11de58fffb01a907fc9c42f255958,storm-server\src\main\java\org\apache\storm\localizer\AsyncLocalizer.java
STORM-3580,5306fe83e42e50bed668050cb82aed30391f32ef,storm-core\src\jvm\org\apache\storm\command\Rebalance.java
STORM-3580,f3e7662cd31443b5231e9f88408ef9c4c5305144,storm-core\src\jvm\org\apache\storm\command\Rebalance.java
STORM-3572,5b89af3d4430483ef40f9fec7cdf960e3647059e,storm-server\src\main\java\org\apache\storm\stats\StatsUtil.java
STORM-3572,5b89af3d4430483ef40f9fec7cdf960e3647059e,storm-webapp\src\main\java\org\apache\storm\daemon\ui\resources\StormApiResource.java
STORM-3567,15e0d4a9cd8d93a0ef6e57796ac110cd69847eff,storm-server\src\main\java\org\apache\storm\daemon\nimbus\Nimbus.java
STORM-3567,bc47a748948e0588cfbce2e9d5f20a3b682a27eb,storm-server\src\main\java\org\apache\storm\daemon\nimbus\Nimbus.java
STORM-3567,bc47a748948e0588cfbce2e9d5f20a3b682a27eb,storm-webapp\src\main\java\org\apache\storm\daemon\ui\UIHelpers.java
STORM-3552,b77dffbf8abaf939939994e766257651adf47ffc,storm-client\test\jvm\org\apache\storm\daemon\worker\LogConfigManagerTest.java
